Position,Tl,Hl_CO2,Hl_MEA,Hl_H2O,Hl_T,Fl_T,Hlf,Hl_CO2_trn,Hl_H2O_trn,Hl_trn,ql,Hl_flux,dHlf_dz,dTl_dz,dHl_dT
0.63,346.8927465704091,-83999.99999,-49636.873734955465,-46317.67438042266,-47730.29929649059,93.24475098822151,-4450599.8724945495,-13981.31590005224,21255.47294001177,-437.7499352638588,-899.3925366425249,-1337.1424719063837,1337.1424719063837,6.593312176815708,84.04113583446228
0.64,346.9571347735261,-83999.99999,-49625.428717234216,-46312.81238723616,-47720.67374249793,93.26191524485361,-4450521.430000153,-13420.333526208577,20355.044766738672,-419.16213935791706,-858.7687552251291,-1277.9308945830462,1277.9308945830462,6.286253813782631,84.05003679665154
0.65,347.0185104879787,-83999.99999,-49614.51816465097,-46308.17781373258,-47711.47327980053,93.27832857302852,-4450446.481296504,-12872.543112353715,19480.743328156907,-401.11469598285754,-819.5872079289454,-1220.701903911803,1220.701903911803,5.990862942860081,84.05856562496302
0.66,347.07699109291053,-83999.99999,-49604.1213527872,-46303.76180413086,-47702.68377676337,93.29401521505774,-4450374.90606845,-12338.480945470852,18633.082292845993,-383.6216184813941,-781.8314889322835,-1165.4531074136776,1165.4531074136776,5.707097553386824,84.06673254269938
0.67,347.13269008705714,-83999.99999,-49594.218233321284,-46299.55579493548,-47694.29119784135,93.30899937495475,-4450306.587568288,-11818.587269890142,17812.04549348822,-366.6797820400759,-745.4817242246144,-1112.1615062646902,1112.1615062646902,5.434569400103074,84.07454808849243
0.68,347.1857191737422,-83999.99999,-49584.789064408775,-46295.55135754727,-47686.28161222729,93.32330510486105,-4450241.408214213,-11313.223798999403,17017.76902526271,-350.292772681567,-710.5117681017379,-1060.804540783305,1060.804540783305,5.173068664704199,84.08202284376397
0.6900000000000001,347.2361878160318,-83999.99999,-49575.81449070938,-46291.740231902935,-47678.641171415526,93.33695640413785,-4450179.252424943,-10822.668743950975,16250.293005542215,-334.46219536227466,-676.900290014389,-1011.3624853766637,1011.3624853766637,4.922379511930746,84.08916752248534
0.7000000000000001,347.28420140422645,-83999.99999,-49567.27587018434,-46288.1144649046,-47671.35629675055,93.34997686341966,-4450120.007349499,-10347.124700083335,15509.365809419905,-319.1805106493824,-644.617049239591,-963.7975598889734,963.7975598889734,4.682108441720567,84.09599287434597
0.71,347.3298644253079,-83999.99999,-49559.15471134592,-46284.66617112425,-47664.41346785587,93.36239000678489,-4450063.55963061,-9886.72256835848,14794.969540932703,-304.4497298128632,-613.6342762568347,-918.0840060696979,918.0840060696979,4.452105910440603,84.10250965854493
0.72,347.3732766241433,-83999.99999,-49551.43335676071,-46281.38782273508,-47657.79952764313,93.3742188044174,-4450009.80083121,-9441.527296628365,14106.714100924997,-290.2596413608035,-583.9222935522139,-874.1819349130174,874.1819349130174,4.2319787440178,84.10872858603321
0.73,347.4145359242827,-83999.99999,-49544.09446438294,-46278.272028986124,-47651.501475999954,93.38548597117457,-4449958.622592398,-9011.541021585566,13444.313031543157,-276.6047788042116,-555.4470716855084,-832.05185048972,832.05185048972,4.0214624592863775,84.11466032018537
0.74,347.4537373068724,-83999.99999,-49537.12120764541,-46275.31162089962,-47645.50657866131,93.39621381265428,-4449909.919632878,-8596.709473334111,12807.42195329689,-263.4785137021447,-528.1785058347506,-791.6570195368953,791.6570195368953,3.8202946124724932,84.12031542157109
0.75,347.49097159878033,-83999.99999,-49530.497491727234,-46272.4997428263,-47639.80249066577,93.40642398898255,-4449863.590194514,-8196.929393368106,12195.501239837933,-250.86797360346176,-502.0808463199359,-752.9488199233977,752.9488199233977,3.628093036865856,84.12570428519265
0.76,347.5263284853577,-83999.99999,-49524.20741825014,-46269.8296249605,-47634.3769867919,93.4161379721694,-4449819.532816483,-7812.0452730777915,11608.173617375565,-238.76697656151026,-477.1202530860897,-715.8872296476,715.8872296476,3.4446469935706436,84.13083723684294
0.77,347.55989265737315,-83999.99999,-49518.235971302995,-46267.294874349645,-47629.218359992985,93.42537637165583,-4449777.651570125,-7441.867871777496,11044.826591216839,-227.1613396020333,-453.2624930339518,-680.423832635985,680.423832635985,3.269586420918299,84.13572431290739
0.78,347.5917470966498,-83999.99999,-49512.5684334828,-46264.88922679642,-47624.31508309325,93.43415949216313,-4449737.851178765,-7086.164432837398,10504.919368944336,-216.04015895537808,-430.47061280169174,-646.5107717570698,646.5107717570698,3.1026305154720726,84.14037544707766
0.79,347.6219716015945,-83999.99999,-49507.19064870279,-46262.60665823605,-47619.65599396163,93.44250702899087,-4449700.039933886,-6744.672313580154,9987.886323619856,-205.39204321142452,-408.71094500250433,-614.1029882139288,614.1029882139288,2.943505264321594,84.14480032623825
0.8,347.6506420115763,-83999.99999,-49502.08916068524,-46260.44144333811,-47615.2303715046,93.45043792113232,-4449664.129932704,-6417.104686711296,9493.03903315453,-195.2014703744829,-387.9464888753539,-583.1479592498368,583.1479592498368,2.791856467880175,84.14900835584048
0.81,347.67783304546776,-83999.99999,-49497.250708323365,-46258.3879411611,-47611.0276362528,93.45797087146666,-4449630.033989509,-6103.141230191415,9019.810864898547,-185.4578377365332,-368.14217275613595,-553.6000104926692,553.6000104926692,2.647454332493968,84.15300883093724
